CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,Year
2013-05-21,18:06,BROOKLYN,11207.0,40.6718484,-73.8872882,"(40.6718484, -73.8872882)",BELMONT AVENUE                  ,BARBEY STREET                   ,,4.0,0.0,0,0,0,0,4,0,Unspecified,Unspecified,,,,167183,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-08,11:00,BROOKLYN,11211.0,40.7183865,-73.9571327,"(40.7183865, -73.9571327)",NORTH 8 STREET                  ,BEDFORD AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,199740,SPORT UTILITY / STATION WAGON,UNKNOWN,,,,2013
2013-05-30,20:40,BRONX,10451.0,40.816554,-73.9195436,"(40.816554, -73.9195436)",COURTLANDT AVENUE               ,EAST 149 STREET                 ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,74498,PASSENGER VEHICLE,UNKNOWN,,,,2013
2013-05-18,11:35,MANHATTAN,10002.0,40.7138434,-73.9927243,"(40.7138434, -73.9927243)",PIKE STREET                     ,EAST BROADWAY                   ,,0.0,0.0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,7418,BUS,SPORT UTILITY / STATION WAGON,,,,2013
2013-05-28,15:04,,,,,,,,P/L OF 112 RICHMOND HILL                ,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,298208,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-31,18:00,,,40.5983028,-74.1907466,"(40.5983028, -74.1907466)",,,,1.0,0.0,0,0,0,0,1,0,Outside Car Distraction,,,,,3122567,PASSENGER VEHICLE,,,,,2013
2013-06-06,14:20,MANHATTAN,10001.0,40.7496708,-73.9952973,"(40.7496708, -73.9952973)",WEST 30 STREET                  ,8 AVENUE                        ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,29230,PASSENGER VEHICLE,PICK-UP TRUCK,,,,2013
2013-05-26,12:35,QUEENS,11357.0,40.7800886,-73.8171459,"(40.7800886, -73.8171459)",149 STREET                      ,21 AVENUE                       ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,250479,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-06-04,9:05,STATEN ISLAND,10312.0,40.5508155,-74.16571,"(40.5508155, -74.16571)",KATAN AVENUE                    ,ELTINGVILLE BOULEVARD           ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,298337,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
2013-05-23,22:00,,,,,,69 ROAD                         ,COOPER AVENUE                   ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,216460,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,2013
